system_time,timestamp,raw_adc,voltage,smoothed,baseline_diff,signal_strength
2025-07-03T17:48:47.961803,10100,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:48.061803,10200,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:48.160953,10300,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:48.263512,10400,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:48.361473,10500,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:48.464156,10600,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:48.561771,10700,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:48.668977,10800,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:48.768792,10900,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:48.870959,11000,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:48.965460,11100,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:49.061773,11200,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:49.161780,11300,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:49.261788,11400,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:49.361794,11500,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:49.460930,11600,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:49.566238,11700,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:49.665344,11800,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:49.764173,11900,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:49.861794,12000,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:49.960812,12100,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:50.061261,12200,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:50.161802,12300,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:50.261815,12400,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:50.363172,12500,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:50.461680,12600,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:50.561805,12700,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:50.660923,12800,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:50.761823,12900,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:50.861825,13000,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:50.961820,13100,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:51.061818,13200,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:51.161812,13300,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:51.266660,13400,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:51.362880,13500,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:51.461835,13600,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:51.561072,13700,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:51.661834,13800,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:51.761855,13900,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:51.861843,14000,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:51.961831,14100,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:52.068483,14200,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:52.161843,14300,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:52.261851,14400,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:52.361850,14500,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:52.461851,14600,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:52.561610,14700,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:52.661852,14800,405,1.979,405.0,13.2,13.2
2025-07-03T17:48:52.761852,14900,405,1.979,405.0,13.2,13.2
