system_time,timestamp,raw_adc,voltage,smoothed,baseline_diff,signal_strength
2025-07-04T09:53:23.703092,10100,39,0.191,39.0,1.41,1.41
2025-07-04T09:53:23.802300,10200,39,0.191,39.0,1.41,1.41
2025-07-04T09:53:23.903035,10300,39,0.191,39.0,1.41,1.41
2025-07-04T09:53:24.007568,10400,39,0.191,39.0,1.41,1.41
2025-07-04T09:53:24.107731,10500,39,0.191,39.0,1.41,1.41
2025-07-04T09:53:24.210872,10600,39,0.191,39.0,1.41,1.41
2025-07-04T09:53:24.305910,10700,39,0.191,39.0,1.41,1.41
2025-07-04T09:53:24.410891,10800,39,0.191,39.0,1.41,1.41
2025-07-04T09:53:24.509514,10900,39,0.191,39.0,1.41,1.41
2025-07-04T09:53:24.610268,11000,39,0.191,39.0,1.41,1.41
2025-07-04T09:53:24.704527,11100,40,0.196,39.1,1.51,1.51
2025-07-04T09:53:24.803024,11200,39,0.191,39.1,1.51,1.51
2025-07-04T09:53:24.903010,11300,40,0.196,39.2,1.61,1.61
2025-07-04T09:53:25.002999,11400,39,0.191,39.2,1.61,1.61
2025-07-04T09:53:25.103016,11500,39,0.191,39.2,1.61,1.61
2025-07-04T09:53:25.203398,11600,40,0.196,39.3,1.71,1.71
2025-07-04T09:53:25.309210,11700,39,0.191,39.3,1.71,1.71
2025-07-04T09:53:25.407243,11800,39,0.191,39.3,1.71,1.71
2025-07-04T09:53:25.503023,11900,40,0.196,39.4,1.81,1.81
2025-07-04T09:53:25.602998,12000,39,0.191,39.4,1.81,1.81
2025-07-04T09:53:25.703469,12100,39,0.191,39.3,1.71,1.71
2025-07-04T09:53:25.806077,12200,39,0.191,39.3,1.71,1.71
2025-07-04T09:53:25.903001,12300,40,0.196,39.3,1.71,1.71
2025-07-04T09:53:26.002948,12400,40,0.196,39.4,1.81,1.81
2025-07-04T09:53:26.103887,12500,40,0.196,39.5,1.91,1.91
2025-07-04T09:53:26.202991,12600,39,0.191,39.4,1.81,1.81
2025-07-04T09:53:26.302518,12700,39,0.191,39.4,1.81,1.81
2025-07-04T09:53:26.402979,12800,39,0.191,39.4,1.81,1.81
2025-07-04T09:53:26.502232,12900,39,0.191,39.3,1.71,1.71
2025-07-04T09:53:26.602295,13000,40,0.196,39.4,1.81,1.81
2025-07-04T09:53:26.702320,13100,39,0.191,39.4,1.81,1.81
2025-07-04T09:53:26.802407,13200,40,0.196,39.5,1.91,1.91
2025-07-04T09:53:26.902977,13300,39,0.191,39.4,1.81,1.81
2025-07-04T09:53:27.002192,13400,40,0.196,39.4,1.81,1.81
2025-07-04T09:53:27.107813,13500,40,0.196,39.4,1.81,1.81
2025-07-04T09:53:27.205513,13600,39,0.191,39.4,1.81,1.81
2025-07-04T09:53:27.303720,13700,40,0.196,39.5,1.91,1.91
2025-07-04T09:53:27.402965,13800,39,0.191,39.5,1.91,1.91
2025-07-04T09:53:27.502969,13900,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:27.602955,14000,39,0.191,39.5,1.91,1.91
2025-07-04T09:53:27.712760,14100,39,0.191,39.5,1.91,1.91
2025-07-04T09:53:27.813319,14200,40,0.196,39.5,1.91,1.91
2025-07-04T09:53:27.913497,14300,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:28.005100,14400,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:28.102953,14500,39,0.191,39.5,1.91,1.91
2025-07-04T09:53:28.202945,14600,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:28.302946,14700,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:28.402674,14800,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:28.502313,14900,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:28.602932,15000,39,0.191,39.7,2.11,2.11
2025-07-04T09:53:28.702705,15100,40,0.196,39.8,2.21,2.21
2025-07-04T09:53:28.802941,15200,40,0.196,39.8,2.21,2.21
2025-07-04T09:53:28.905116,15300,39,0.191,39.7,2.11,2.11
2025-07-04T09:53:29.002938,15400,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:29.102915,15500,39,0.191,39.7,2.11,2.11
2025-07-04T09:53:29.202915,15600,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:29.302939,15700,39,0.191,39.6,2.01,2.01
2025-07-04T09:53:29.402936,15800,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:29.502928,15900,39,0.191,39.5,1.91,1.91
2025-07-04T09:53:29.602240,16000,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:29.702099,16100,39,0.191,39.5,1.91,1.91
2025-07-04T09:53:29.806679,16200,40,0.196,39.5,1.91,1.91
2025-07-04T09:53:29.903202,16300,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:30.002921,16400,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:30.102477,16500,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:30.202914,16600,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:30.302911,16700,39,0.191,39.7,2.11,2.11
2025-07-04T09:53:30.402933,16800,39,0.191,39.6,2.01,2.01
2025-07-04T09:53:30.502896,16900,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:30.603056,17000,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:30.710255,17100,39,0.191,39.7,2.11,2.11
2025-07-04T09:53:30.809196,17200,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:30.907314,17300,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:31.006237,17400,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:31.103672,17500,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:31.202898,17600,39,0.191,39.6,2.01,2.01
2025-07-04T09:53:31.302880,17700,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:31.402879,17800,40,0.196,39.8,2.21,2.21
2025-07-04T09:53:31.510892,17900,40,0.196,39.8,2.21,2.21
2025-07-04T09:53:31.611576,18000,40,0.196,39.8,2.21,2.21
2025-07-04T09:53:31.713170,18100,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:31.809374,18200,39,0.191,39.8,2.21,2.21
2025-07-04T09:53:31.904781,18300,39,0.191,39.7,2.11,2.11
2025-07-04T09:53:32.002875,18400,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:32.102874,18500,39,0.191,39.6,2.01,2.01
2025-07-04T09:53:32.202863,18600,39,0.191,39.6,2.01,2.01
2025-07-04T09:53:32.302865,18700,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:32.402859,18800,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:32.502861,18900,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:32.602858,19000,39,0.191,39.5,1.91,1.91
2025-07-04T09:53:32.702851,19100,40,0.196,39.5,1.91,1.91
2025-07-04T09:53:32.802841,19200,40,0.196,39.6,2.01,2.01
2025-07-04T09:53:32.902483,19300,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:33.002855,19400,40,0.196,39.7,2.11,2.11
2025-07-04T09:53:33.102335,19500,40,0.196,39.8,2.21,2.21
2025-07-04T09:53:33.202841,19600,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:33.302836,19700,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:33.402874,19800,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:33.502843,19900,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:33.602057,20000,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:33.801959,20100,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:33.902060,20200,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:34.002838,20300,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:34.101910,20400,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:34.202203,20500,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:34.302832,20600,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:34.402823,20700,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:34.502827,20800,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:34.602164,20900,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:34.703546,21000,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:34.802828,21100,39,0.191,39.9,2.31,2.31
2025-07-04T09:53:34.902821,21200,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:35.002815,21300,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:35.102812,21400,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:35.202809,21500,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:35.302803,21600,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:35.402603,21700,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:35.502812,21800,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:35.609238,21900,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:35.705502,22000,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:35.802810,22100,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:35.902789,22200,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:36.003466,22300,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:36.102801,22400,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:36.201988,22500,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:36.302778,22600,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:36.402741,22700,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:36.502787,22800,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:36.604529,22900,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:36.701810,23000,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:36.802654,23100,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:36.902780,23200,39,0.191,39.9,2.31,2.31
2025-07-04T09:53:37.002798,23300,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:37.102238,23400,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:37.202654,23500,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:37.302761,23600,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:37.402490,23700,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:37.506629,23800,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:37.602759,23900,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:37.702302,24000,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:37.802765,24100,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:37.901824,24200,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:38.002497,24300,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:38.101777,24400,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:38.202194,24500,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:38.302734,24600,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:38.407087,24700,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:38.502500,24800,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:38.602742,24900,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:38.702127,25000,39,0.191,39.9,2.31,2.31
2025-07-04T09:53:38.802110,25100,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:38.902727,25200,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:39.002449,25300,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:39.102736,25400,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:39.202733,25500,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:39.309599,25600,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:39.407815,25700,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:39.507112,25800,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:39.606463,25900,40,0.196,39.9,2.31,2.31
2025-07-04T09:53:39.705880,26000,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:39.804404,26100,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:39.902756,26200,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:40.001848,26300,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:40.108055,26400,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:40.204852,26500,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:40.302719,26600,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:40.402597,26700,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:40.502325,26800,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:40.601779,26900,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:40.702703,27000,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:40.802487,27100,40,0.196,40.0,2.41,2.41
2025-07-04T09:53:40.902707,27200,40,0.196,40.0,2.41,2.41
