,,,,,,
2025-07-04095323.703092,10100,39,0.191,39.0,1.41,1.41
2025-07-04095323.802300,10200,39,0.191,39.0,1.41,1.41
2025-07-04095323.903035,10300,39,0.191,39.0,1.41,1.41
2025-07-04095324.007568,10400,39,0.191,39.0,1.41,1.41
2025-07-04095324.107731,10500,39,0.191,39.0,1.41,1.41
2025-07-04095324.210872,10600,39,0.191,39.0,1.41,1.41
2025-07-04095324.305910,10700,39,0.191,39.0,1.41,1.41
2025-07-04095324.410891,10800,39,0.191,39.0,1.41,1.41
2025-07-04095324.509514,10900,39,0.191,39.0,1.41,1.41
2025-07-04095324.610268,11000,39,0.191,39.0,1.41,1.41
2025-07-04095324.704527,11100,40,0.196,39.1,1.51,1.51
2025-07-04095324.803024,11200,39,0.191,39.1,1.51,1.51
2025-07-04095324.903010,11300,40,0.196,39.2,1.61,1.61
2025-07-04095325.002999,11400,39,0.191,39.2,1.61,1.61
2025-07-04095325.103016,11500,39,0.191,39.2,1.61,1.61
2025-07-04095325.203398,11600,40,0.196,39.3,1.71,1.71
2025-07-04095325.309210,11700,39,0.191,39.3,1.71,1.71
2025-07-04095325.407243,11800,39,0.191,39.3,1.71,1.71
2025-07-04095325.503023,11900,40,0.196,39.4,1.81,1.81
2025-07-04095325.602998,12000,39,0.191,39.4,1.81,1.81
2025-07-04095325.703469,12100,39,0.191,39.3,1.71,1.71
2025-07-04095325.806077,12200,39,0.191,39.3,1.71,1.71
2025-07-04095325.903001,12300,40,0.196,39.3,1.71,1.71
2025-07-04095326.002948,12400,40,0.196,39.4,1.81,1.81
2025-07-04095326.103887,12500,40,0.196,39.5,1.91,1.91
2025-07-04095326.202991,12600,39,0.191,39.4,1.81,1.81
2025-07-04095326.302518,12700,39,0.191,39.4,1.81,1.81
2025-07-04095326.402979,12800,39,0.191,39.4,1.81,1.81
2025-07-04095326.502232,12900,39,0.191,39.3,1.71,1.71
2025-07-04095326.602295,13000,40,0.196,39.4,1.81,1.81
2025-07-04095326.702320,13100,39,0.191,39.4,1.81,1.81
2025-07-04095326.802407,13200,40,0.196,39.5,1.91,1.91
2025-07-04095326.902977,13300,39,0.191,39.4,1.81,1.81
2025-07-04095327.002192,13400,40,0.196,39.4,1.81,1.81
2025-07-04095327.107813,13500,40,0.196,39.4,1.81,1.81
2025-07-04095327.205513,13600,39,0.191,39.4,1.81,1.81
2025-07-04095327.303720,13700,40,0.196,39.5,1.91,1.91
2025-07-04095327.402965,13800,39,0.191,39.5,1.91,1.91
2025-07-04095327.502969,13900,40,0.196,39.6,2.01,2.01
2025-07-04095327.602955,14000,39,0.191,39.5,1.91,1.91
2025-07-04095327.712760,14100,39,0.191,39.5,1.91,1.91
2025-07-04095327.813319,14200,40,0.196,39.5,1.91,1.91
2025-07-04095327.913497,14300,40,0.196,39.6,2.01,2.01
2025-07-04095328.005100,14400,40,0.196,39.6,2.01,2.01
2025-07-04095328.102953,14500,39,0.191,39.5,1.91,1.91
2025-07-04095328.202945,14600,40,0.196,39.6,2.01,2.01
2025-07-04095328.302946,14700,40,0.196,39.6,2.01,2.01
2025-07-04095328.402674,14800,40,0.196,39.7,2.11,2.11
2025-07-04095328.502313,14900,40,0.196,39.7,2.11,2.11
2025-07-04095328.602932,15000,39,0.191,39.7,2.11,2.11
2025-07-04095328.702705,15100,40,0.196,39.8,2.21,2.21
2025-07-04095328.802941,15200,40,0.196,39.8,2.21,2.21
2025-07-04095328.905116,15300,39,0.191,39.7,2.11,2.11
2025-07-04095329.002938,15400,40,0.196,39.7,2.11,2.11
2025-07-04095329.102915,15500,39,0.191,39.7,2.11,2.11
2025-07-04095329.202915,15600,40,0.196,39.7,2.11,2.11
2025-07-04095329.302939,15700,39,0.191,39.6,2.01,2.01
2025-07-04095329.402936,15800,40,0.196,39.6,2.01,2.01
