125200,13,0.064,11.10,-7.52,7.52\
125300,14,0.068,11.00,-7.62,7.62\
125400,12,0.059,10.80,-7.82,7.82\
125500,18,0.088,12.00,-6.62,6.62\
125600,16,0.078,12.60,-6.02,6.02\
125700,14,0.068,12.90,-5.72,5.72\
125800,15,0.073,13.80,-4.82,4.82\
125900,15,0.073,14.10,-4.52,4.52\
126000,15,0.073,14.40,-4.22,4.22\
126100,15,0.073,14.70,-3.92,3.92\
126200,15,0.073,14.90,-3.72,3.72\
126300,16,0.078,15.10,-3.52,3.52\
126400,15,0.073,15.40\cb1 \
