,,,,,,
2025-07-03182027.725324,10100,385,1.882,385.0,10.29,10.29
2025-07-03182027.825318,10200,385,1.882,385.0,10.29,10.29
2025-07-03182027.925262,10300,385,1.882,385.0,10.29,10.29
2025-07-03182028.025259,10400,385,1.882,385.0,10.29,10.29
2025-07-03182028.124590,10500,385,1.882,385.0,10.29,10.29
2025-07-03182028.225782,10600,385,1.882,385.0,10.29,10.29
2025-07-03182028.325274,10700,385,1.882,385.0,10.29,10.29
2025-07-03182028.425294,10800,385,1.882,385.0,10.29,10.29
2025-07-03182028.529726,10900,385,1.882,385.0,10.29,10.29
2025-07-03182028.628178,11000,385,1.882,385.0,10.29,10.29
2025-07-03182028.725279,11100,385,1.882,385.0,10.29,10.29
2025-07-03182028.825282,11200,385,1.882,385.0,10.29,10.29
2025-07-03182028.925278,11300,385,1.882,385.0,10.29,10.29
2025-07-03182029.025278,11400,385,1.882,385.0,10.29,10.29
2025-07-03182029.125276,11500,385,1.882,385.0,10.29,10.29
2025-07-03182029.225217,11600,385,1.882,385.0,10.29,10.29
2025-07-03182029.331226,11700,385,1.882,385.0,10.29,10.29
2025-07-03182029.431237,11800,385,1.882,385.0,10.29,10.29
2025-07-03182029.530314,11900,385,1.882,385.0,10.29,10.29
2025-07-03182029.629056,12000,385,1.882,385.0,10.29,10.29
2025-07-03182029.729177,12100,385,1.882,385.0,10.29,10.29
2025-07-03182029.831081,12200,385,1.882,385.0,10.29,10.29
2025-07-03182029.924867,12300,385,1.882,385.0,10.29,10.29
2025-07-03182030.025314,12400,385,1.882,385.0,10.29,10.29
2025-07-03182030.125308,12500,385,1.882,385.0,10.29,10.29
2025-07-03182030.227442,12600,385,1.882,385.0,10.29,10.29
2025-07-03182030.325317,12700,385,1.882,385.0,10.29,10.29
2025-07-03182030.424383,12800,385,1.882,385.0,10.29,10.29
2025-07-03182030.525318,12900,385,1.882,385.0,10.29,10.29
2025-07-03182030.625325,13000,385,1.882,385.0,10.29,10.29
2025-07-03182030.724358,13100,385,1.882,385.0,10.29,10.29
2025-07-03182030.825334,13200,385,1.882,385.0,10.29,10.29
2025-07-03182030.925326,13300,385,1.882,385.0,10.29,10.29
2025-07-03182031.025335,13400,385,1.882,385.0,10.29,10.29
2025-07-03182031.132063,13500,385,1.882,385.0,10.29,10.29
2025-07-03182031.230385,13600,385,1.882,385.0,10.29,10.29
2025-07-03182031.326967,13700,385,1.882,385.0,10.29,10.29
2025-07-03182031.425337,13800,385,1.882,385.0,10.29,10.29
2025-07-03182031.525344,13900,385,1.882,385.0,10.29,10.29
2025-07-03182031.625333,14000,385,1.882,385.0,10.29,10.29
2025-07-03182031.727158,14100,385,1.882,385.0,10.29,10.29
2025-07-03182031.826113,14200,385,1.882,385.0,10.29,10.29
2025-07-03182031.925339,14300,385,1.882,385.0,10.29,10.29
2025-07-03182032.025354,14400,385,1.882,385.0,10.29,10.29
2025-07-03182032.125058,14500,385,1.882,385.0,10.29,10.29
